
央视频道,#genre#
CCTV1综合,http://171.38.148.188:9003/hls/1/index.m3u8$LR•IPV4•4『线路1』
CCTV1综合,http://218.13.14.6:60050/tsfile/live/1001_1.m3u8$LR•IPV4•4『线路2』
CCTV1综合,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$LR•IPV4•4『线路3』
CCTV1综合,http://148.135.93.213:81/live.php?id=CCTV1$LR•IPV4•4『线路4』
CCTV2财经,http://171.38.148.188:9003/hls/2/index.m3u8$LR•IPV4•4『线路1』
CCTV2财经,http://218.13.14.6:60050/tsfile/live/1002_1.m3u8$LR•IPV4•4『线路2』
CCTV2财经,http://39.135.133.177/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$LR•IPV4•4『线路3』
CCTV2财经,http://148.135.93.213:81/live.php?id=CCTV2$LR•IPV4•4『线路4』
CCTV3综艺,http://113.57.140.161:10081/newlive/live/hls/3/live.m3u8$LR•IPV4•4『线路1』
CCTV3综艺,http://218.13.14.6:60050/tsfile/live/1003_1.m3u8$LR•IPV4•4『线路2』
CCTV3综艺,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$LR•IPV4•4『线路3』
CCTV3综艺,http://148.135.93.213:81/live.php?id=CCTV3$LR•IPV4•4『线路4』
CCTV4中文国际,http://112.30.73.119:229/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•5『线路1』
CCTV4中文国际,http://218.13.14.6:60050/tsfile/live/1004_1.m3u8$LR•IPV4•5『线路2』
CCTV4中文国际,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1787031900-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-1ac47b6b0530e9b5677a8c586345b0aa&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$LR•IPV4•5『线路3』
CCTV4中文国际,http://39.135.135.50/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8$LR•IPV4•5『线路4』
